CustomerID,Gender,Age,Location,Annual_Income,Spending_Score,Purchase_Frequency,Avg_Order_Value,Recency,Loyalty_Status
C0033,Female,24,Mumbai,66828,11,9,488,82,Silver
C0034,Female,53,Hyderabad,67924,45,1,329,6,Gold
C0035,Female,37,Kolkata,94182,89,11,378,23,Gold
C0036,Male,18,Hyderabad,113065,33,7,424,59,Bronze
C0037,Female,25,Kolkata,79052,41,8,221,46,Bronze
C0038,Male,33,Kolkata,31664,8,12,57,38,Silver
C0039,Male,31,Pune,55737,11,3,449,14,Bronze
C0040,Male,29,Chennai,109563,86,4,279,72,Bronze
C0041,Male,40,Kolkata,49373,51,10,207,62,Bronze
C0042,Male,32,Bengaluru,56397,88,6,76,35,Gold
C0043,Female,45,Kolkata,106145,41,10,448,19,Platinum
C0044,Female,51,Kolkata,58709,17,7,39,30,Silver
C0045,Female,19,Kolkata,81120,76,4,292,78,Platinum
C0046,Female,49,Pune,39250,46,8,138,84,Silver
C0047,Female,40,Pune,41172,32,5,90,25,Silver
C0048,Male,39,Mumbai,31555,79,1,23,40,Bronze
C0049,Female,42,Pune,107410,80,4,240,88,Gold
C0050,Female,39,Bengaluru,98617,54,3,33,14,Platinum
C0051,Male,39,Bengaluru,73276,86,9,22,26,Gold
C0052,Female,59,Pune,77492,92,8,235,87,Silver
C0053,Male,23,Hyderabad,73002,20,1,248,22,Gold
C0054,Female,32,Chennai,109599,33,11,355,48,Bronze
C0055,Male,54,Pune,92355,74,6,205,83,Platinum
C0056,Female,50,Kolkata,111248,40,9,74,51,Silver
C0057,Female,25,Delhi,44762,32,7,407,3,Silver
C0058,Male,22,Chennai,31046,97,4,395,42,Silver
C0059,Male,56,Chennai,116999,2,1,273,19,Gold
C0060,Male,21,Bengaluru,48769,97,12,43,73,Bronze
C0061,Male,23,Chennai,73302,33,2,181,28,Gold
C0062,Male,49,Pune,43150,77,12,177,84,Bronze
C0063,Male,47,Kolkata,88247,30,5,101,45,Gold
C0064,Male,52,Kolkata,24853,33,12,422,71,Gold
C0065,Male,57,Mumbai,114613,77,11,178,78,Gold
C0066,Female,33,Kolkata,109399,26,5,207,63,Silver
C0067,Female,30,Kolkata,41792,22,8,79,73,Silver
C0068,Male,59,Bengaluru,79129,66,6,422,19,Bronze
C0069,Female,47,Kolkata,94478,38,8,324,47,Gold
C0070,Female,36,Mumbai,87298,90,2,338,14,Bronze
C0071,Female,34,Delhi,51987,46,3,385,38,Silver
C0072,Female,36,Pune,35850,15,6,230,53,Bronze
C0073,Male,45,Bengaluru,32112,98,12,425,61,Bronze
C0074,Female,43,Delhi,44058,44,10,171,36,Gold
C0075,Male,54,Bengaluru,65420,49,3,128,40,Bronze
C0076,Female,43,Hyderabad,58890,75,6,95,81,Gold
C0077,Female,40,Chennai,86017,61,6,49,30,Silver
C0078,Female,26,Hyderabad,67304,67,2,333,9,Bronze
C0079,Male,29,Kolkata,52921,6,7,136,64,Silver
C0080,Female,18,Delhi,21524,9,12,434,33,Bronze
C0081,Male,18,Kolkata,35048,6,2,375,52,Bronze
C0082,Female,51,Chennai,55111,73,6,211,89,Gold
C0083,Male,49,Bengaluru,57904,95,1,38,14,Bronze
C0084,Female,42,Chennai,74912,32,3,451,75,Gold
C0085,Male,57,Mumbai,54008,41,2,192,53,Bronze
C0086,Male,18,Chennai,20060,76,7,247,59,Bronze
C0087,Female,33,Mumbai,94666,8,4,369,78,Gold
C0088,Male,56,Chennai,103559,72,8,202,41,Silver
C0089,Female,22,Pune,75337,50,6,132,68,Bronze
C0090,Female,39,Mumbai,33350,92,12,202,68,Silver
C0091,Female,46,Delhi,44354,62,10,165,8,Bronze
C0092,Female,20,Kolkata,65186,84,4,338,2,Gold
C0093,Female,29,Kolkata,48145,62,5,135,86,Silver
C0094,Female,43,Hyderabad,54020,7,9,132,41,Gold
C0095,Female,33,Kolkata,106123,75,7,270,55,Platinum
C0096,Female,54,Bengaluru,95186,84,10,495,16,Silver
C0097,Female,39,Pune,105469,80,9,270,62,Platinum
C0098,Female,46,Chennai,40581,4,7,322,48,Silver
C0099,Female,31,Hyderabad,108929,6,12,478,30,Platinum
C0100,Male,45,Bengaluru,43051,58,1,332,12,Bronze
C0101,Male,22,Bengaluru,71474,22,12,137,35,Gold
C0102,Female,47,Mumbai,111748,26,8,320,11,Silver
C0103,Female,22,Kolkata,89626,3,4,180,64,Silver
C0104,Female,29,Delhi,26960,41,3,420,50,Gold
C0105,Female,33,Delhi,55772,60,7,217,85,Gold
C0106,Female,43,Hyderabad,41520,14,12,279,21,Bronze
C0107,Female,43,Pune,69481,75,3,167,69,Bronze
C0108,Female,38,Delhi,56408,82,8,259,48,Gold
C0109,Female,56,Chennai,114006,12,6,66,20,Gold
C0110,Male,53,Delhi,77134,87,5,494,67,Platinum
C0111,Female,50,Hyderabad,40491,12,4,418,44,Gold
C0112,Male,47,Delhi,21341,13,8,217,33,Platinum
C0113,Female,54,Chennai,64623,25,8,66,73,Gold
C0114,Female,40,Mumbai,110327,45,12,97,61,Bronze
C0115,Male,27,Pune,20338,19,1,143,9,Bronze
C0116,Female,22,Hyderabad,91431,55,9,94,68,Gold
C0117,Male,53,Mumbai,32254,100,5,378,35,Gold
C0118,Female,51,Mumbai,71860,45,4,156,81,Bronze
C0119,Female,48,Mumbai,31344,8,6,109,88,Silver
C0120,Male,27,Bengaluru,21750,93,6,419,65,Platinum
C0121,Female,36,Pune,74756,53,2,344,8,Silver
C0122,Male,49,Kolkata,87957,55,8,80,45,Silver
C0123,Female,18,Pune,78053,32,7,157,87,Silver
C0124,Male,22,Bengaluru,90855,51,1,69,47,Bronze
C0125,Male,21,Kolkata,35896,44,5,278,40,Silver
C0126,Female,33,Pune,75761,82,12,480,76,Silver
C0127,Female,41,Mumbai,82552,70,6,126,54,Bronze
C0128,Male,33,Hyderabad,97454,18,4,132,76,Gold
C0129,Female,19,Kolkata,110600,83,2,369,46,Silver
C0130,Female,45,Chennai,47935,22,4,273,47,Gold
C0131,Female,49,Chennai,57641,37,1,137,15,Platinum
C0132,Male,44,Delhi,49711,96,7,217,19,Bronze
C0133,Male,37,Kolkata,90342,56,2,356,26,Gold
C0134,Male,41,Hyderabad,32182,59,2,384,52,Silver
C0135,Male,29,Bengaluru,107833,3,9,70,22,Platinum
C0136,Male,52,Mumbai,76276,28,5,264,21,Bronze
C0137,Male,50,Delhi,39541,74,2,422,51,Gold
C0138,Male,50,Chennai,114457,35,11,445,38,Gold
C0139,Male,54,Bengaluru,102310,61,9,54,20,Bronze
C0140,Male,29,Bengaluru,64813,93,9,321,29,Bronze
C0141,Female,20,Mumbai,57198,54,1,429,51,Gold
C0142,Male,18,Kolkata,28820,63,11,88,4,Gold
C0143,Female,50,Chennai,44070,79,3,368,55,Silver
C0144,Female,57,Hyderabad,89768,97,4,339,71,Gold
C0145,Female,27,Bengaluru,31122,7,7,440,28,Silver
C0146,Male,46,Mumbai,100559,76,10,487,4,Gold
C0147,Male,30,Hyderabad,93543,49,4,68,22,Bronze
C0148,Male,29,Kolkata,103441,94,2,424,76,Platinum
C0149,Male,48,Chennai,61786,85,7,93,45,Bronze
C0150,Female,19,Kolkata,114934,31,6,211,67,Silver
C0151,Male,52,Bengaluru,119804,58,3,280,86,Bronze
C0152,Male,40,Hyderabad,26737,61,6,375,66,Bronze
C0153,Male,34,Hyderabad,56062,24,11,89,88,Silver
C0154,Male,43,Hyderabad,74237,20,6,109,34,Bronze
C0155,Male,25,Bengaluru,71571,37,12,279,55,Gold
C0156,Female,46,Bengaluru,45510,4,5,145,1,Bronze
C0157,Male,43,Kolkata,39426,92,4,250,72,Silver
C0158,Female,27,Delhi,57265,20,10,314,87,Silver
C0159,Male,43,Kolkata,37850,60,12,438,38,Bronze
C0160,Female,51,Chennai,86150,24,1,148,6,Bronze
C0161,Male,58,Mumbai,107312,50,10,299,86,Silver
C0162,Male,24,Hyderabad,109613,49,6,332,25,Silver
C0163,Female,21,Delhi,94910,51,2,119,82,Silver
C0164,Female,28,Mumbai,72375,96,3,345,17,Silver
C0165,Female,46,Delhi,55435,36,8,316,61,Silver
C0166,Male,53,Pune,116443,98,10,201,12,Bronze
C0167,Female,42,Kolkata,77132,100,6,193,6,Silver
C0168,Male,38,Bengaluru,98945,66,3,335,27,Platinum
C0169,Male,53,Hyderabad,102050,79,7,383,8,Silver
C0170,Female,27,Kolkata,115402,34,4,207,83,Gold
C0171,Female,54,Mumbai,22983,36,9,76,65,Silver
C0172,Male,26,Pune,117241,6,5,50,57,Gold
C0173,Male,41,Pune,40662,39,3,103,40,Gold
C0174,Female,52,Pune,43510,42,2,171,14,Silver
C0175,Female,52,Mumbai,98187,58,11,492,35,Platinum
C0176,Female,53,Mumbai,60998,12,2,55,48,Bronze
C0177,Male,35,Mumbai,76846,3,3,232,84,Bronze
C0178,Male,56,Mumbai,114071,18,2,433,56,Gold
C0179,Male,49,Pune,26640,40,4,427,49,Gold
C0180,Male,41,Pune,64547,21,2,383,13,Bronze
C0181,Male,40,Delhi,74620,15,10,125,61,Bronze
C0182,Male,49,Kolkata,35317,97,9,433,49,Bronze
C0183,Female,54,Hyderabad,27564,99,2,361,46,Bronze
C0184,Male,29,Bengaluru,47345,26,9,239,62,Gold
C0185,Male,30,Pune,114223,8,6,410,8,Silver
C0186,Male,40,Bengaluru,99273,100,1,182,43,Silver
C0187,Female,42,Kolkata,94859,94,4,458,20,Silver
C0188,Male,52,Kolkata,100765,87,1,239,39,Bronze
C0189,Male,58,Bengaluru,94038,42,6,289,85,Bronze
C0190,Female,47,Pune,72393,44,4,139,49,Gold
C0191,Male,34,Bengaluru,86081,14,3,413,64,Platinum
C0192,Male,37,Delhi,49430,78,3,355,62,Gold
C0193,Male,42,Chennai,95532,2,9,419,54,Bronze
C0194,Male,39,Pune,47788,37,6,201,9,Platinum
C0195,Male,30,Pune,115505,69,9,498,88,Gold
C0196,Female,36,Hyderabad,68543,38,5,125,37,Gold
C0197,Female,53,Mumbai,33919,41,2,236,49,Silver
C0198,Female,29,Chennai,89346,62,8,224,41,Silver
C0199,Male,58,Kolkata,116122,60,5,89,17,Silver
C0200,Male,36,Pune,59974,14,2,63,88,Bronze
C0201,Male,29,Bengaluru,36371,89,4,348,21,Bronze
C0202,Female,26,Chennai,65084,84,9,320,51,Bronze
C0203,Male,24,Hyderabad,49629,2,4,247,59,Silver
C0204,Male,45,Kolkata,71184,70,12,203,39,Gold
C0205,Female,31,Mumbai,81916,17,12,126,55,Silver
C0206,Male,48,Mumbai,93972,89,12,103,41,Bronze
C0207,Female,36,Hyderabad,82187,28,4,357,39,Platinum
C0208,Female,33,Hyderabad,32984,66,2,269,13,Platinum
C0209,Female,22,Bengaluru,53039,35,12,382,64,Gold
C0210,Male,52,Pune,105431,5,6,460,11,Platinum
C0211,Male,29,Mumbai,103691,65,11,40,19,Silver
C0212,Male,42,Kolkata,78606,40,2,215,11,Platinum
C0213,Male,38,Chennai,30616,76,12,197,77,Bronze
C0214,Male,53,Kolkata,70072,56,7,436,46,Silver
C0215,Male,40,Delhi,44574,36,3,494,45,Bronze
C0216,Male,33,Delhi,23430,45,3,26,1,Bronze
C0217,Female,56,Hyderabad,32676,23,5,89,40,Bronze
C0218,Male,59,Bengaluru,30816,47,3,146,19,Gold
C0219,Female,56,Delhi,52733,31,2,418,76,Gold
C0220,Male,31,Mumbai,105680,11,10,485,72,Silver
C0221,Male,48,Kolkata,22050,10,9,179,72,Bronze
C0222,Male,22,Kolkata,53933,67,2,267,61,Gold
C0223,Female,52,Hyderabad,44951,14,11,222,12,Gold
C0224,Female,40,Pune,52413,80,2,167,61,Silver
C0225,Female,46,Pune,54801,74,8,491,33,Gold
C0226,Female,28,Chennai,75619,93,9,162,45,Bronze
C0227,Male,35,Hyderabad,52913,10,7,451,69,Silver
C0228,Female,29,Chennai,60600,76,3,218,8,Platinum
C0229,Male,26,Pune,77775,94,9,424,25,Bronze
C0230,Male,27,Hyderabad,110816,1,3,445,46,Silver
C0231,Female,34,Hyderabad,110093,5,5,173,87,Platinum
C0232,Female,55,Hyderabad,55400,20,9,395,30,Gold
C0233,Female,24,Pune,24494,8,12,403,47,Bronze
C0234,Female,30,Chennai,100688,43,3,161,87,Bronze
C0235,Female,57,Chennai,109431,76,7,332,49,Bronze
C0236,Female,59,Hyderabad,94691,1,12,184,47,Gold
C0237,Female,26,Delhi,117419,57,1,333,84,Silver
C0238,Female,44,Bengaluru,63001,64,4,40,82,Bronze
C0239,Male,19,Pune,87364,84,4,101,18,Platinum
C0240,Female,22,Bengaluru,65028,28,7,88,66,Silver
C0241,Female,46,Bengaluru,117659,37,8,150,68,Bronze
C0242,Male,54,Chennai,57573,47,1,106,33,Silver
C0243,Female,55,Chennai,20806,76,5,237,36,Gold
C0244,Male,36,Delhi,76638,37,7,440,82,Bronze
C0245,Male,25,Bengaluru,49757,49,12,491,19,Bronze
C0246,Female,18,Bengaluru,54636,44,4,324,28,Gold
C0247,Male,39,Hyderabad,100097,56,4,422,40,Silver
C0248,Male,34,Chennai,68280,28,4,390,84,Silver
C0249,Male,24,Bengaluru,44262,79,12,364,76,Silver
C0250,Male,42,Kolkata,100435,6,6,360,15,Bronze
C0251,Female,21,Delhi,82211,61,7,403,41,Bronze
C0252,Male,53,Kolkata,74842,20,2,415,39,Silver
C0253,Female,23,Kolkata,76979,78,5,464,2,Bronze
C0254,Male,48,Pune,101470,2,4,444,63,Bronze
C0255,Male,36,Pune,58197,73,3,180,29,Gold
C0256,Male,56,Delhi,61844,37,7,197,74,Platinum
C0257,Male,44,Kolkata,84754,20,11,136,66,Gold
C0258,Female,27,Bengaluru,54157,26,12,215,51,Platinum
C0259,Female,43,Chennai,97129,29,6,402,75,Bronze
C0260,Male,36,Delhi,60042,1,7,346,77,Platinum
C0261,Male,56,Hyderabad,81665,35,5,105,10,Bronze
C0262,Female,20,Kolkata,102856,70,6,308,14,Platinum
C0263,Male,30,Delhi,47376,59,5,100,82,Platinum
C0264,Male,45,Mumbai,75554,69,7,171,51,Gold
C0265,Male,37,Mumbai,34199,33,2,80,73,Platinum
C0266,Female,45,Pune,101412,51,11,80,39,Silver
C0267,Female,25,Chennai,70948,78,5,373,28,Bronze
C0268,Female,58,Bengaluru,93781,12,6,47,3,Silver
C0269,Male,56,Chennai,92750,20,6,461,84,Silver
C0270,Male,18,Chennai,86262,53,5,62,70,Bronze
C0271,Female,20,Chennai,66600,88,10,188,27,Gold
C0272,Female,30,Chennai,96898,43,7,442,2,Platinum
C0273,Female,45,Hyderabad,82483,98,10,105,38,Bronze
C0274,Female,42,Hyderabad,38297,89,8,196,3,Gold
C0275,Male,50,Pune,50448,50,7,36,16,Platinum
C0276,Female,55,Delhi,46172,29,5,117,40,Platinum
C0277,Male,23,Mumbai,62874,57,1,473,2,Platinum
C0278,Female,49,Chennai,27657,39,5,217,81,Silver
C0279,Male,38,Pune,104386,95,10,117,41,Platinum
C0280,Female,33,Delhi,45425,56,2,84,12,Gold
C0281,Female,38,Mumbai,46685,43,5,349,35,Bronze
C0282,Female,28,Kolkata,44578,50,5,360,65,Silver
C0283,Female,54,Bengaluru,48831,23,2,24,55,Gold
C0284,Male,53,Hyderabad,27906,44,5,21,45,Bronze
C0285,Female,52,Kolkata,81413,38,4,41,79,Gold
C0286,Male,36,Mumbai,74028,84,1,131,85,Gold
C0287,Male,37,Kolkata,27287,23,3,76,62,Bronze
C0288,Male,35,Bengaluru,53660,45,1,85,49,Silver
C0289,Male,58,Pune,95758,52,12,349,25,Gold
C0290,Female,31,Mumbai,80504,80,11,117,23,Silver
C0291,Male,32,Kolkata,79720,50,5,163,24,Bronze
C0292,Male,48,Hyderabad,54701,8,4,387,38,Bronze
C0293,Male,18,Hyderabad,103300,85,7,454,28,Silver
C0294,Female,20,Delhi,37674,1,5,144,21,Platinum
C0295,Female,33,Kolkata,103560,8,10,186,54,Bronze
C0296,Female,40,Chennai,43874,29,4,105,18,Gold
C0297,Female,28,Kolkata,63642,96,2,95,36,Bronze
C0298,Male,29,Pune,117820,5,4,363,45,Silver
C0299,Male,27,Mumbai,85160,86,12,443,73,Gold
C0300,Female,49,Mumbai,37602,47,2,313,53,Gold
C0301,Male,33,Pune,108801,34,8,463,30,Bronze
C0302,Male,25,Kolkata,45931,65,3,78,60,Silver
C0303,Male,55,Pune,114377,55,9,157,32,Bronze
C0304,Female,29,Bengaluru,49192,90,4,118,67,Silver
C0305,Female,41,Pune,66542,43,6,211,67,Gold
C0306,Male,45,Hyderabad,62520,74,10,262,28,Bronze
C0307,Female,25,Pune,84772,30,5,338,44,Bronze
C0308,Female,45,Mumbai,78762,82,10,68,79,Silver
C0309,Female,53,Hyderabad,70106,17,1,467,41,Platinum
C0310,Female,43,Mumbai,101121,26,9,51,63,Platinum
C0311,Female,25,Delhi,45559,8,1,410,23,Bronze
C0312,Male,45,Chennai,53742,47,8,296,75,Gold
C0313,Female,45,Mumbai,89669,76,9,39,48,Silver
C0314,Male,54,Hyderabad,100199,91,9,173,32,Silver
C0315,Male,58,Delhi,41754,72,1,402,57,Gold
C0316,Female,53,Mumbai,23972,89,2,87,33,Platinum
C0317,Male,44,Bengaluru,90831,46,12,385,24,Platinum
C0318,Male,34,Pune,61873,68,1,391,39,Silver
C0319,Male,26,Chennai,114661,33,10,233,34,Silver
C0320,Female,50,Mumbai,29903,1,2,162,56,Gold
C0321,Female,37,Delhi,23020,19,10,395,28,Bronze
C0322,Male,30,Bengaluru,61755,31,12,251,37,Silver
C0323,Female,45,Kolkata,105956,80,8,232,7,Silver
C0324,Female,46,Delhi,106988,14,5,98,68,Gold
C0325,Female,30,Pune,65648,53,12,233,37,Bronze
C0326,Female,52,Delhi,29516,48,11,135,56,Bronze
C0327,Male,23,Bengaluru,22396,69,7,111,65,Platinum
C0328,Male,35,Delhi,104082,90,2,289,65,Bronze
C0329,Female,22,Bengaluru,39129,62,8,430,47,Silver
C0330,Female,42,Mumbai,21591,92,11,400,20,Bronze
C0331,Male,19,Bengaluru,31303,66,6,187,19,Bronze
C0332,Male,27,Bengaluru,50561,64,8,77,29,Bronze
C0333,Female,47,Chennai,91719,70,1,303,74,Bronze
C0334,Male,22,Bengaluru,112108,63,1,45,60,Platinum
C0335,Female,50,Bengaluru,119616,73,12,388,18,Bronze
C0336,Female,18,Kolkata,106231,33,7,466,35,Platinum
C0337,Male,35,Mumbai,27314,41,8,85,43,Silver
C0338,Male,49,Pune,39623,89,3,428,11,Silver
C0339,Female,28,Chennai,87675,48,5,267,49,Silver
C0340,Female,38,Kolkata,116826,13,12,273,38,Silver
C0341,Male,43,Hyderabad,85082,73,1,406,64,Gold
C0342,Female,42,Mumbai,103624,77,7,475,69,Bronze
C0343,Male,39,Mumbai,53130,31,5,63,8,Silver
C0344,Female,44,Hyderabad,71756,75,8,116,34,Platinum
C0345,Male,30,Pune,117624,68,8,61,48,Platinum
C0346,Male,50,Bengaluru,46292,98,9,246,56,Platinum
C0347,Male,51,Kolkata,106206,4,7,281,76,Silver
C0348,Female,58,Delhi,89274,19,11,186,65,Gold
C0349,Female,52,Chennai,22469,70,1,455,31,Silver
C0350,Male,18,Delhi,73947,98,3,298,4,Silver
C0351,Female,38,Hyderabad,42534,82,8,108,50,Bronze
C0352,Male,23,Mumbai,83620,13,3,398,69,Silver
C0353,Male,45,Pune,68874,23,8,197,30,Bronze
C0354,Female,34,Mumbai,69708,83,1,446,88,Silver
C0355,Female,22,Chennai,94553,75,5,422,59,Platinum
C0356,Male,48,Mumbai,88344,1,4,216,67,Bronze
C0357,Female,22,Mumbai,69138,88,5,326,75,Bronze
C0358,Female,55,Chennai,74302,54,8,286,45,Bronze
C0359,Male,20,Kolkata,67638,71,10,287,4,Platinum
C0360,Male,40,Kolkata,98249,89,4,93,26,Silver
C0361,Female,54,Chennai,22719,85,11,27,27,Silver
C0362,Male,54,Pune,42890,15,4,427,46,Gold
C0363,Male,27,Hyderabad,97236,65,3,495,64,Gold
C0364,Female,27,Mumbai,56509,76,7,316,51,Silver
C0365,Male,36,Pune,62534,71,3,183,50,Gold
C0366,Male,34,Mumbai,112241,15,12,104,6,Gold
C0367,Female,38,Hyderabad,38787,21,3,91,59,Gold
C0368,Female,31,Kolkata,68845,19,11,74,15,Bronze
C0369,Male,26,Pune,77932,60,10,412,30,Platinum
C0370,Male,18,Bengaluru,112124,93,5,66,42,Silver
C0371,Female,30,Bengaluru,111659,89,5,418,37,Bronze
C0372,Female,21,Bengaluru,53062,33,6,451,42,Silver
C0373,Female,18,Kolkata,95713,49,8,257,35,Bronze
C0374,Female,57,Kolkata,107263,96,10,123,87,Bronze
C0375,Male,49,Hyderabad,115756,35,6,229,6,Gold
C0376,Female,51,Mumbai,80461,44,12,61,68,Bronze
C0377,Female,45,Hyderabad,95418,90,1,335,18,Silver
C0378,Male,48,Hyderabad,86672,11,8,487,73,Silver
C0379,Female,25,Kolkata,54832,99,8,473,29,Bronze
C0380,Male,56,Bengaluru,51966,72,9,287,77,Platinum
C0381,Female,43,Delhi,92545,78,9,405,59,Bronze
C0382,Female,51,Mumbai,32987,74,2,282,47,Silver
C0383,Female,20,Kolkata,57311,66,2,355,17,Silver
C0384,Male,29,Bengaluru,51575,46,3,406,22,Bronze
C0385,Male,18,Pune,83852,9,1,384,68,Bronze
C0386,Female,22,Delhi,21007,3,4,278,69,Gold
C0387,Male,47,Delhi,90981,85,4,302,37,Platinum
C0388,Male,47,Kolkata,96242,26,9,133,49,Bronze
C0389,Male,34,Chennai,67517,72,9,382,13,Gold
C0390,Male,40,Mumbai,49257,48,9,59,34,Gold
C0391,Male,32,Delhi,107272,66,10,436,86,Gold
C0392,Male,54,Kolkata,62207,70,7,239,53,Silver
C0393,Female,38,Kolkata,33281,28,2,148,87,Silver
C0394,Female,31,Bengaluru,81246,93,10,27,51,Silver
C0395,Male,19,Pune,21435,26,5,120,3,Gold
C0396,Female,28,Chennai,118875,25,4,435,42,Gold
C0397,Female,56,Mumbai,111357,12,12,399,32,Bronze
C0398,Female,55,Hyderabad,46660,5,11,195,51,Silver
C0399,Female,51,Pune,25084,98,8,126,85,Platinum
C0400,Male,55,Pune,102197,48,2,120,46,Gold
C0401,Female,51,Bengaluru,33507,37,6,279,21,Platinum
C0402,Female,35,Delhi,92595,79,5,497,44,Gold
C0403,Male,47,Delhi,103807,44,12,473,11,Silver
C0404,Male,32,Bengaluru,65539,100,2,385,68,Silver
C0405,Female,44,Kolkata,27491,15,11,265,1,Gold
C0406,Female,51,Delhi,70192,43,10,294,63,Bronze
C0407,Female,55,Chennai,100395,48,1,51,24,Silver
C0408,Female,50,Mumbai,83888,87,8,156,13,Gold
C0409,Female,41,Pune,93609,70,2,31,11,Bronze
C0410,Female,32,Pune,29077,46,7,414,51,Gold
C0411,Male,47,Chennai,40953,43,9,321,17,Silver
C0412,Female,59,Delhi,96919,21,9,394,82,Platinum
C0413,Female,34,Pune,87889,23,8,35,86,Bronze
C0414,Male,22,Hyderabad,43821,80,11,148,24,Bronze
C0415,Male,46,Mumbai,57567,47,12,82,19,Gold
C0416,Male,21,Mumbai,44860,15,10,128,37,Bronze
C0417,Male,27,Pune,41195,25,9,394,85,Gold
C0418,Female,34,Bengaluru,97475,36,2,40,8,Gold
C0419,Female,27,Pune,110874,75,6,177,28,Bronze
C0420,Female,34,Bengaluru,107266,51,4,288,5,Silver
C0421,Female,37,Pune,41427,15,4,181,17,Silver
C0422,Female,41,Hyderabad,47083,68,5,279,36,Silver
C0423,Female,22,Kolkata,107046,21,12,431,19,Platinum
C0424,Male,51,Mumbai,77372,13,3,121,64,Gold
C0425,Female,23,Pune,64064,86,1,242,11,Gold
C0426,Male,19,Hyderabad,27813,19,8,78,54,Gold
C0427,Male,30,Bengaluru,51598,34,5,266,45,Silver
C0428,Female,28,Bengaluru,113106,78,3,147,47,Platinum
C0429,Male,40,Mumbai,47082,68,10,302,12,Gold
C0430,Female,33,Chennai,49241,52,7,344,21,Gold
C0431,Male,48,Pune,116214,27,7,44,11,Platinum
C0432,Female,28,Delhi,64569,29,1,150,5,Bronze
C0433,Male,33,Bengaluru,31745,28,12,372,81,Gold
C0434,Female,25,Kolkata,46029,35,9,215,56,Bronze
C0435,Female,21,Kolkata,33025,8,2,300,20,Silver
C0436,Female,57,Bengaluru,34288,16,5,423,41,Silver
C0437,Female,21,Chennai,109186,36,5,437,46,Platinum
C0438,Female,42,Chennai,26540,30,8,173,12,Platinum
C0439,Male,20,Hyderabad,117768,18,8,401,70,Gold
C0440,Male,49,Kolkata,101958,2,7,152,17,Gold
C0441,Male,20,Hyderabad,88878,49,7,246,19,Silver
C0442,Female,44,Kolkata,61846,77,12,208,26,Platinum
C0443,Male,46,Pune,95932,4,11,495,48,Silver
C0444,Female,49,Pune,37482,90,6,496,52,Silver
C0445,Female,36,Delhi,43411,89,6,284,70,Bronze
C0446,Male,38,Pune,70975,94,11,391,55,Gold
C0447,Male,22,Delhi,80545,75,9,453,75,Gold
C0448,Female,35,Pune,98797,7,6,153,33,Silver
C0449,Male,45,Mumbai,72307,95,12,230,62,Bronze
C0450,Female,59,Pune,23093,74,2,79,88,Gold
C0451,Female,39,Hyderabad,97258,39,2,447,23,Bronze
C0452,Female,38,Bengaluru,42042,13,5,396,15,Gold
C0453,Female,23,Hyderabad,72930,31,4,414,27,Platinum
C0454,Female,18,Bengaluru,64413,71,11,469,75,Silver
C0455,Male,22,Chennai,113623,63,2,450,64,Bronze
C0456,Male,58,Hyderabad,117883,56,3,383,81,Gold
C0457,Female,29,Chennai,53756,42,7,383,51,Gold
C0458,Female,43,Delhi,73268,61,8,476,53,Silver
C0459,Male,51,Delhi,59214,42,12,232,78,Platinum
